5.24,,3.91,0,,
143.45,,3.72,1,,
2.91,,3.53,0,,
0.58,,3.33,0,,
12.82,,3.28,0,,
7,,3.41,0,,
0,,3.7,0,,
159.48,,3.85,1,,
0,,4.36,0,,
0,,4.62,0,,
1.75,,4.8,0,,
0,,4.86,0,,
0,,4.79,0,,
152.84,,3.92,1,,
0,,4.41,0,,
0,,4.14,0,,
0,,3.83,0,,
0,,3.57,0,,
0,,3.47,0,,
139.76,,3.57,1,,
0,,3.75,0,,
0,,3.91,0,,
0,,4.05,0,,
0,,4.15,0,,
0,,4.21,0,,
158.72,,3.79,1,,
4.67,,4.18,0,,
0,,4.1,0,,
0,,4.06,0,,
0.58,,3.97,0,,
81.77,,3.85,0,,
164.78,,3.69,1,,
11.68,,3.53,0,,
22.78,,3.42,0,,
59.58,,3.47,0,,
5.25,,3.68,0,,
48.48,,3.98,0,,
173.25,,3.89,1,,
17.52,,4.56,0,,
251.17,,4.67,0,,
190.42,,4.71,0,,
130.84,,4.87,0,,
92.87,,3.96,0,,
129.48,,3.48,1,,
88.78,,4.49,0,,
52.57,,4.76,0,,
7.59,,4.92,0,,
5.25,,4.96,0,,
0,,4.89,0,,
136.49,,3.51,1,,
0,,4.5,0,,
1.75,,4.24,0,,
0.58,,3.98,0,,
5.84,,3.74,0,,
0,,3.57,0,,
127.48,,3.46,1,,
0,,3.44,0,,
0,,3.58,0,,
0,,3.82,0,,
0,,4.04,0,,
0.58,,4.23,0,,
164.45,,3.76,1,,
3.5,,4.5,0,,
0,,4.56,0,,
0.58,,4.57,0,,
1.17,,4.53,0,,
6.42,,4.43,0,,
139.76,,3.84,1,,
0,,4.13,0,,
1.16,,3.96,0,,
1.16,,3.83,0,,
0,,3.79,0,,
4.67,,4.04,0,,
138.49,,3.49,1,,
3.5,,4.58,0,,
5.25,,4.74,0,,
0.58,,4.81,0,,
61.33,,4.78,0,,
48.48,,4.67,0,,
153.48,,3.75,1,,
46.14,,4.28,0,,
36.8,,4.04,0,,
29.79,,3.8,0,,
8.76,,3.57,0,,
8.17,,3.39,0,,
146.58,,3.27,1,,
27.45,,3.39,0,,
31.54,,3.67,0,,
17.52,,3.89,0,,
9.34,,4.14,0,,
2.33,,4.14,0,,
157.45,,3.82,1,,
2.33,,4.63,0,,
0.58,,4.68,0,,
0,,4.65,0,,
1.17,,4.54,0,,
22.28,,4.37,0,,
137.89,,3.47,1,,
1.17,,3.89,0,,
4.69,,3.67,0,,
8.79,,3.67,0,,
8.79,,3.9,0,,
2.34,,4.16,0,,
154.26,,3.49,1,,
5.27,,4.54,0,,
2.34,,4.62,0,,
3.51,,4.62,0,,
5.86,,4.55,0,,
7.03,,4.42,0,,
156.45,,3.83,1,,
11.73,,4.02,0,,
11.14,,3.49,0,,
0,,3.54,0,,
0,,3.32,0,,
0.58,,3.15,0,,
142.46,,3.25,1,,
5.27,,3.48,0,,
0,,3.76,0,,
0.58,,4.05,0,,
2.34,,4.31,0,,
9.38,,4.52,0,,
158.72,,3.78,1,,
0,,4.72,0,,
7.62,,4.68,0,,
5.86,,4.54,0,,
10.56,,4.32,0,,
9.96,,4.02,0,,
127.43,,3.78,1,,
4.1,,3.61,0,,
4.69,,3.61,0,,
0.58,,3.78,0,,
0,,4,0,,
0,,4.2,0,,
146.45,,3.81,1,,
0,,4.41,0,,
0,,4.43,0,,
0,,4.37,0,,
0,,4.26,0,,
2.35,,4.11,0,,
127.48,,3.92,1,,
35.25,,3.75,0,,
0,,3.56,0,,
17,,3.38,0,,
21.11,,3.24,0,,
32.84,,3.23,0,,
142.56,,3.4,1,,
3.52,,3.68,0,,
1.76,,3.97,0,,
0.58,,4.25,0,,
5.28,,4.48,0,,
32.25,,4.63,0,,
163.23,,3.48,1,,
28.15,,4.69,0,,
14.66,,4.65,0,,
